OTU_ID	May_0m_Cellular.rRNA	June_30m_Cellular.rRNA	June_100m_Cellular.rRNA	June_265m_Cellular.rRNA	May_5m_Cellular.rRNA	May_30m_Cellular.rRNA	May_100m_Cellular.rRNA	May_265m_Cellular.rRNA	June_0m_Cellular.rRNA	June_5m_Cellular.rRNA	May_0m_Cellular.rDNA	June_30m_Cellular.rDNA	June_100m_Cellular.rDNA	June_265m_Cellular.rDNA	May_5m_Cellular.rDNA	May_30m_Cellular.rDNA	May_100m_Cellular.rDNA	May_265m_Cellular.rDNA	June_0m_Cellular.rDNA	June_5m_Cellular.rDNA	May_0m_Extracellular.rRNA	June_30m_Extracellular.rRNA	June_100m_Extracellular.rRNA	June_265m_Extracellular.rRNA	May_5m_Extracellular.rRNA	May_30m_Extracellular.rRNA	May_100m_Extracellular.rRNA	May_265m_Extracellular.rRNA	June_0m_Extracellular.rRNA	June_5m_Extracellular.rRNA	taxonomy
ASV1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Chitinophagales;f_Saprospiraceae;g_Lewinella
ASV10035	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas
ASV10041	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	487	0	0	0	346	246	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS7 marine group;g_uncultured marine bacterium
ASV10042	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Cryomorphaceae;g_uncultured
ASV10043	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Marinimicrobia (SAR406 clade)
ASV10045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV10047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	k_Bacteria;p_Proteobacteria
ASV10052	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_Pla3 lineage
ASV10056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Rubritaleaceae;g_Rubritalea
ASV10057	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_Planctomycetacia;o_Pirellulales;f_Pirellulaceae;g_Blastopirellula
ASV10058	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales
ASV10061	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS9 marine group
ASV10066	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10067	0	0	0	0	0	0	85	151	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	35	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Thalassobaculales;f_Nisaeaceae;g_OM75 clade
ASV10069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_SAR11 clade;f_Clade I;g_Clade Ia
ASV10073	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_PAUC34f;c_uncultured bacterium HF0500_16O16
ASV10074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Bradymonadales;f_uncultured marine bacterium
ASV10075	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
ASV1008	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS9 marine group
ASV10080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_NB1-j
ASV10081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Rubritaleaceae;g_Rubritalea
ASV10082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Gemmatimonadetes;c_BD2-11 terrestrial group;o_uncultured BD2-11 clade bacterium
ASV10084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Betaproteobacteriales;f_SC-I-84
ASV10085	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Halieaceae
ASV10087	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS7 marine group
ASV10088	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiales Incertae Sedis;g_Bauldia
ASV1009	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Kordiimonadales;f_uncultured
ASV10093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	k_Bacteria;p_Planctomycetes;c_OM190;o_uncultured bacterium
ASV10099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_SAR324 clade(Marine group B)
ASV10101	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV10102	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
ASV10103	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10108	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Gemmatimonadetes;c_BD2-11 terrestrial group;o_uncultured marine bacterium Ant4D5
ASV10109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV1011	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Acidobacteria;c_Subgroup 6
ASV10117	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS7 marine group;g_seawater metagenome
ASV10118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_SAR11 clade;f_Clade I
ASV10119	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_NS4 marine group
ASV10121	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_SAR11 clade;f_Clade I;g_Clade Ia
ASV10124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_Planctomycetacia;o_Planctomycetales;f_Rubinisphaeraceae;g_uncultured
ASV10125	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10129	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Crocinitomicaceae;g_Fluviicola;s_marine metagenome
ASV1013	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS9 marine group
ASV10131	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_S25-593
ASV10132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10135	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV10139	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV10146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Marinimicrobia (SAR406 clade)
ASV10150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Nitrospinae;c_Nitrospinia;o_Nitrospinales;f_Nitrospinaceae;g_Nitrospina
ASV10151	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_NS2b marine group
ASV10154	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales;f_Alcanivoracaceae;g_Alcanivorax
ASV10157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Puniceispirillales;f_SAR116 clade
ASV10158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae
ASV10159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_NS5 marine group;s_uncultured bacterium ARCTIC26_B_07
ASV1016	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Sulfitobacter
ASV10167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_NB1-j;f_hydrothermal vent metagenome
ASV10175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_DEV007
ASV10176	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae
ASV10177	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Ulvibacter
ASV10179	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sneathiellales;f_Sneathiellaceae;g_AT-s3-44;s_uncultured bacterium KM3-69-D9
ASV1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	k_Bacteria;p_Chloroflexi;c_Anaerolineae
ASV10180	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_AEGEAN-169 marine group
ASV10184	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Opitutales;f_Puniceicoccaceae;g_Pelagicoccus;s_uncultured marine bacterium
ASV10185	0	0	0	0	0	0	0	118	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	k_Bacteria;p_Hydrogenedentes;c_Hydrogenedentia;o_Hydrogenedentiales;f_Hydrogenedensaceae;g_uncultured bacterium
ASV10187	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV10188	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_Planctomycetacia;o_Planctomycetales;f_Gimesiaceae;g_uncultured;s_uncultured bacterium
ASV10189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Porticoccaceae;g_SAR92 clade
ASV10193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus
ASV10194	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_SAR324 clade(Marine group B)
ASV10197	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales;f_Halomonadaceae;g_Halomonas
ASV10200	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_OM190;o_uncultured bacterium
ASV10202	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Actinobacteria;c_Acidimicrobiia;o_Microtrichales;f_Ilumatobacteraceae;g_Ilumatobacter
ASV10207	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria
ASV10209	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_Pla3 lineage
ASV1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_SAR11 clade;f_Clade I;g_Clade Ia
ASV10215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	k_Archaea;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrosopumilales;f_Nitrosopumilaceae
ASV10218	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_NS9 marine group
ASV10219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_OM190
ASV1022	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria
ASV10221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Colwelliaceae;g_Colwellia
ASV10223	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Planctomycetes;c_Planctomycetacia;o_Planctomycetales;f_Rubinisphaeraceae
ASV10224	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
ASV10234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria
ASV10239	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Marinimicrobia (SAR406 clade);c_Marinimicrobia bacterium SCGC AAA160-I06
ASV1024	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales;f_Pseudohongiellaceae;g_Pseudohongiella
ASV10240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pasteurellales;f_Pasteurellaceae;g_Haemophilus
ASV10241	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Archaea;p_Thaumarchaeota;c_Nitrososphaeria;o_Nitrosopumilales;f_Nitrosopumilaceae;g_Candidatus Nitrosopumilus
ASV10250	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Halieaceae
ASV10253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Bradymonadales;f_uncultured marine bacterium
ASV10254	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Nitrospinae;c_Nitrospinia;o_Nitrospinales;f_Nitrospinaceae;g_LS-NOB
ASV10257	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Nitrospinae;c_Nitrospinia;o_Nitrospinales;f_Nitrospinaceae;g_Nitrospina
ASV10258	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria
ASV10259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae;g_Capnocytophaga
ASV1026	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_SAR86 clade
ASV10265	0	0	0	0	146	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Flavobacteriales;f_Flavobacteriaceae
ASV10266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	k_Bacteria;p_Cyanobacteria;c_Oxyphotobacteria;o_Synechococcales;f_Cyanobiaceae
